Entreprise,TitlePub,Lien_offre,Info_post,langue,nfo_entreprise,Type_Contrat,Metier,Profile_cherche,Experience,Niveau_etude,Salaire,Date_pub,Secteur_activite,Location
SKILLZ recrutement,DESSINATEUR PROJETEUR EN CHARPENTE METALLIQUE CASABLANCA,https://www.m-job.ma/offres-emploi/114755-dessinateur-projeteur-en-charpente-metallique-casablanca-casablanca,"Vous êtes titulaire d'un Bac+2/Bac+3 de type dessinateur projeteur du bâtiment ou équivalent. Vous justifiez d'une première expérience (min 1 ans) sur des projets de construction métallique. Vous maîtrisez TEKLA, Revit, Autocad Vous êtes autonome, rigoureux, vous cherchez à developper vos compétences.",Arabe / Français,"SKILLZ est une firme de recrutement offrant une gamme étendue de services visant à aider les entreprises à se doter des ressources humaines nécessaires pour atteindre leurs objectifs d'affaires. Notre équipe complémentaire et multidisciplinaire nous permet de servir une clientèle provenant de secteurs d'activités variés et à exécuter des mandats dans différents domaines professionnels. Passionnées par les enjeux et les challenges du monde de l'entreprise, les consultants de SKILLZ mettent leurs expertises, leurs atouts et leurs pragmatismes aux services de leurs clients. Soucieux de vos besoins, notre cabinet est prêt pour vous trouver les bons candidats en respectant l'aspect le plus important (le timing & la qualité). Notre site web est conçu pour mettre votre entreprise et vos offres d'emploi en valeur et aussi vous garantir une visibilité sur tout les réseaux sociaux de la toile. enfin conçu pour les candidats, leur permettant de trouver l'entreprise qui leur correspond réellement en fonction de leurs aspirations professionnelles. Notre jobboard offre une grande visibilité sur le marché de l'emploi grâce à notre excellent positionnement et notre stratégie de référencement sur le web, nos techniques de publication d'offres web 3.0. SKILLZ est aussi la référence du recrutement d'étudiants et de jeunes talents au Maroc. Basés à Casablanca, nous accompagnons nos clients partout au Maroc et à l'international.",CDI,Architecture / Urbanisme / Environnement / BTP / Extraction / Immobilier / Télécoms / Réseaux,"Dans le cadre de renforcement de notre équipe d'étude, nous recrutons des dessinateurs(trices) projeteurs(es) en BTP et Charpente métallique: Modéliser les structures à partir des plans architecte et de la note de calcul (et faires des calcules simples en cas de besoin) Editer les plans d'ensemble Préparer le dossier de fabrication et de pose Contrôler la conformité des documents par rapport au cahier des charges",Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans),BAC+2 / BAC+3,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 mois avant sur le site.,Architecture / Urbanisme / Environnement,Casablanca

Shoperle SARL,English Customer Support for E-commerce Business.,https://www.m-job.ma/offres-emploi/114871-english-customer-support-for-e-commerce-business-meknes,"We are looking to hire a customer service agent for an e-commerce business. The job will be full-time (7-8 hours daily) and remote. Profil recherché : - excellent written communication skills in English - problem-solving skills - very organized and detail-oriented - Ability to adapt easily and handle varied situations efficiently As the job is remote, owning a good computer and having a good internet connection is a requirement.",Anglais,"on est une société spécialisé en commercialisation des produit solide, produit et bijoux des femmes, cadeaux.",Free Lance,Commerce,English Customer Support for E-commerce Business.,Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) / + 10 ans,NIV BAC ET MOINS / BAC / BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus,A négocier,L'offre a été publiée il y a 3 semaines avant sur le site.,Artisanat,Maroc

LES MANDARINS MAROC,Les MAndarins Maroc (Courtier Français en Assurance) Recrute en CDI : Commerciaux (Santé + Auto + Décennale) + Gestionnaires + Televendeurs // Assistante Direction (stage pré-embauche),https://www.m-job.ma/offres-emploi/115142-les-mandarins-maroc-courtier-francais-en-assurance-recrute-en-cdi-commerciaux-sante-auto-decennale-gestionnaires-televendeurs-assistante-direction-stage-pre-2-rabat,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Français,"Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances pour le marché français, Recrute plusieurs profils suite à l'ouverture de notre Site à Ain Atiq (région de Témara)",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 8000 dh à 10 000 dh,L'offre a été publiée il y a 1 jour avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

CPA CS,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/115141-conseillers-commerciaux-experts-en-assurancemutuelle-sante-salaire-jusqua-25-000-dhs-courtier-francais-8-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 1 jour avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

CPA MAROC,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé + Auto + Décennale : jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/115140-conseillers-commerciaux-experts-en-assurancemutuelle-sante-auto-decennale-jusqua-25-000-dhs-courtier-francais-26-rabat,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 1 jour avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

ASSURISMO GROUP,Stage - Commercial BtoB - StartUp (H/F) à Mohammedia,https://www.m-job.ma/offres-emploi/115139-stage-commercial-btob-startup-hf-a-mohammedia-mohammedia,"Type d'emploi : Stage Horaires : Du Lundi au Vendredi / Off les samedi dimanche Pourquoi nous choisir ? : Rejoins une équipe jeune, dynamique et agréable ! Démarque-toi en choisissant une start-up innovante et reconnue. Sport, festival, art, musique, nouvelles technologies, milieu associatif... autant de secteurs que tu prospecteras. Avantages : Mutuelle + Chèques cadeaux + primes Des AID Fittre et Adha Exigences linguistiques flexibles : Excellent Français requis",Français,"Présentation de l'entreprise Qui sommes-nous ? Société de courtage en assurance leader du domaine en France depuis plus de 15 ans Que faisons-nous ? Comparateur d’assurance en ligne : Complémentaire santé - Prévoyance - Retraite - Obsèques, son rôle est de sélectionner pour vous plusieurs sociétés d’assurances, ainsi nous pouvons vous proposer l’offre la mieux adaptée à vos besoins. Quelques exemples de nos partenaires commerciaux ? Swiss Life, Abeille Assurances, April Assurances, Allianz",CDD,Banque / Assurance,Nous sommes en quête de notre nouveau Stagiaire Commercial(e) / Business Developer. Ton rôle si tu l’acceptes Tu trouveras les meilleures portes d’entrée pour avoir des rendez-vous. Tu créeras ton riche portefeuille clients. Tu feras un réel travail d’investigation pour trouver les bonnes informations commerciales. Tu es la personne idéale si… ⭐ Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients. Tu maitrises les outils digitaux aisément. Tes maitres mots sont : la rigueur et l’autonomie. Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV !,Débutant (de 1 à 3 ans),BAC+2,de 2000 dh à 4000 dh,L'offre a été publiée il y a 1 jour avant sur le site.,Banque / Assurance,Mohammedia

ASSURISMO GROUP,"Téléconseiller.e – Commercial.e - spécialistes ( Assurances, Energies renouvelables, Téléphonie mobile …)",https://www.m-job.ma/offres-emploi/115118-teleconseillere-commerciale-specialistes-assurances-energies-renouvelables-telephonie-mobile-2-mohammedia,"Description du poste Présentation de l'entreprise Qui sommes-nous ? Société de courtage en assurance leader du domaine en France depuis plus de 15 ans Que faisons-nous ? Comparateur d’assurance en ligne : Complémentaire santé - Prévoyance - Retraite - Obsèques, son rôle est de sélectionner pour vous plusieurs sociétés d’assurances, ainsi nous pouvons vous proposer l’offre la mieux adaptée à vos besoins. Quelques exemples de nos partenaires commerciaux ? Swiss Life, Abeille Assurances, April Assurances, Allianz Nous sommes en quête de notre nouveau Commercial(e) / Business Developer. Horaires : Du Lundi au Vendredi / Off les samedi dimanche Pourquoi nous choisir ? : Rejoins une équipe jeune, dynamique et agréable ! Démarque-toi en choisissant une start-up innovante et reconnue. Sport, festival, art, musique, nouvelles technologies, milieu associatif... autant de secteurs que tu prospecteras. Avantages : Mutuelle + Chèques cadeaux + primes Des AID Fittre et Adha Exigences linguistiques flexibles : Excellent Français requis",Français,"Courtier spécialisé en assurances de personnes depuis plus de 15 ans, exerçant dans Complémentaire santé - Prévoyance - Retraite - Obsèques, notre rôle est de sélectionner pour nos clients la solution la mieux adaptée en comparant les offres de sociétés d'assurances les plus prestigieuses en Europe. Notre société familiale s'est implantée au maroc en succursale afin de défendre et servir les intérêts de nos clients et apporter le meilleur de l’assurance : c’est ainsi que, chez ASSURISMO Group, nous définissons notre métier.",CDI,Banque / Assurance,Ton rôle si tu l’acceptes Tu trouveras les meilleures portes d’entrée pour avoir des rendez-vous. Tu créeras ton riche portefeuille clients. Tu feras un réel travail d’investigation pour trouver les bonnes informations commerciales. Tu es la personne idéale si… ⭐ Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients. Tu maitrises les outils digitaux aisément. Tes maitres mots sont : la rigueur et l’autonomie. Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV !,Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 3 jours avant sur le site.,Banque / Assurance,Mohammedia

HNBC GROUPE SUCCURSALE,"Téléconseiller.e – Commercial.e - spécialistes ( Assurances, Energies renouvelables, Téléphonie mobile …)",https://www.m-job.ma/offres-emploi/115117-teleconseillere-commerciale-specialistes-assurances-energies-renouvelables-telephonie-mobile-mohammedia,"Présentation de l'entreprise Qui sommes-nous ? Société de courtage en assurance leader du domaine en France depuis plus de 15 ans Que faisons-nous ? Comparateur d’assurance en ligne : Complémentaire santé - Prévoyance - Retraite - Obsèques, son rôle est de sélectionner pour vous plusieurs sociétés d’assurances, ainsi nous pouvons vous proposer l’offre la mieux adaptée à vos besoins. Quelques exemples de nos partenaires commerciaux ? Swiss Life, Abeille Assurances, April Assurances, Allianz Nous sommes en quête de notre nouveau Commercial(e) / Business Developer. Horaires : Du Lundi au Vendredi / Off les samedi dimanche Pourquoi nous choisir ? : Rejoins une équipe jeune, dynamique et agréable ! Démarque-toi en choisissant une start-up innovante et reconnue. Sport, festival, art, musique, nouvelles technologies, milieu associatif... autant de secteurs que tu prospecteras. Avantages : Mutuelle + Chèques cadeaux + primes Des AID Fittre et Adha Exigences linguistiques flexibles : Excellent Français requis",L'offre a été publiée il y a 3 jours avant sur le site.,"HNBC est un groupe de courtage spécialisé en assurances de personnes : Complémentaire santé - Prévoyance - Retraite - Obsèques, son rôle est de sélectionner pour ses clients la solution la mieux adaptée en comparant plusieurs sociétés d'assurances, Hnbc Assurances travaille en partenariat avec des enseignes prestigieuses, afin de répondre aux exigences de nos clients.",CDI,Banque / Assurance,Ton rôle si tu l’acceptes Tu trouveras les meilleures portes d’entrée pour avoir des rendez-vous. Tu créeras ton riche portefeuille clients. Tu feras un réel travail d’investigation pour trouver les bonnes informations commerciales. Tu es la personne idéale si… ⭐ Tu es prêt(e) à te surpasser pour conquérir de nouveaux clients. Tu maitrises les outils digitaux aisément. Tes maitres mots sont : la rigueur et l’autonomie. Tu te reconnais dans ces phrases et tu souhaites faire partie de cette belle aventure ? Alors envoie-nous ton CV !,BAC+2,Français,de 6000 dh à 8000 dh,L'offre a été publiée il y a 3 jours avant sur le site.,Banque / Assurance,Mohammedia

LES MANDARINS MAROC,Les MAndarins Maroc (Courtier Français en Assurance) Recrute en CDI : Commerciaux (Santé + Auto + Décennale) + Gestionnaires + Televendeurs // Assistante Direction (stage pré-embauche),https://www.m-job.ma/offres-emploi/115094-les-mandarins-maroc-courtier-francais-en-assurance-recrute-en-cdi-commerciaux-sante-auto-decennale-gestionnaires-televendeurs-assistante-direction-stage-pre-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.",Français,"Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances pour le marché français, Recrute plusieurs profils suite à l'ouverture de notre Site à Ain Atiq (région de Témara)",CDI,Banque / Assurance,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Débutant (de 1 à 3 ans),BAC+2,de 10 000 dh à 15 000 dh,L'offre a été publiée il y a 4 jours avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

CPA MAROC,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé + Auto + Décennale : jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/115093-conseillers-commerciaux-experts-en-assurancemutuelle-sante-auto-decennale-jusqua-25-000-dhs-courtier-francais-25-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 4 jours avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

CPA CS,Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 25 000 dhs (Courtier Français),https://www.m-job.ma/offres-emploi/115092-conseillers-commerciaux-experts-en-assurancemutuelle-sante-salaire-jusqua-25-000-dhs-courtier-francais-7-rabat,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",Français,"Notre Cabinet de Courtage Français ‘CPA CS’ spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, recherche ses prochains Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE (H/F) à Casablanca & Rabat. Nous rejoindre, c’est partager notre volonté de bien servir nos clients. On propose une Rémunération Exceptionnelle Salaires + Primes Déclarées à 100%. · Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs. · Commissions non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs déclarées.",CDI,Banque / Assurance,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement.",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 4 jours avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

ASSURISMO GROUP,Conseiller en MUTUELLE marché Français Uniquement Expert H/F,https://www.m-job.ma/offres-emploi/115089-conseiller-en-mutuelle-marche-francais-uniquement-expert-hf-240-mohammedia,"Acompagner, conseiller et vendre en face à face ou à distance les produits et services dédiés aux particuliers (séniors, étudiants, familles, salariés, …) Conseiller nos clients et futurs clients en ligne ( Téléphone / Mails / Tchat ) Fidéliser le Portefeuille clients et assurer un service après-vente de qualité Participer à la création d’une relation client performante, innovante et de qualité",Français,"Courtier spécialisé en assurances de personnes depuis plus de 15 ans, exerçant dans Complémentaire santé - Prévoyance - Retraite - Obsèques, notre rôle est de sélectionner pour nos clients la solution la mieux adaptée en comparant les offres de sociétés d'assurances les plus prestigieuses en Europe. Notre société familiale s'est implantée au maroc en succursale afin de défendre et servir les intérêts de nos clients et apporter le meilleur de l’assurance : c’est ainsi que, chez ASSURISMO Group, nous définissons notre métier.",CDI,Banque / Assurance,"Formation de niveau Bac +2 avec une 1ère expérience de la relation commerciale Proactif, autonome et rigoureux Aisance relationnelle Goût pour le challenge commercial Esprit d’équipe Bonne présentation",Débutant (de 1 à 3 ans),BAC+2,de 6000 dh à 8000 dh,L'offre a été publiée il y a 5 jours avant sur le site.,Banque / Assurance,Mohammedia

VAR PARTENAIRES,CONSEILLER(E)E EN ASSURANCES FRANCE,https://www.m-job.ma/offres-emploi/115062-conseilleree-en-assurances-france-kenitra,Eperimenté en televente,Français,"Nous recrutons des conseillers commerciaux en Asuurances France, des salaires tres attractifs et primes deplaphonées, Formation assuré par nos Experts et suivi sur le terrain afin de faire de vous des conseillers commerciaux metrisant les techniques et clauses de l'assurance Nous offrons une carriere",CDI,Banque / Assurance,Conseiller(e) en assurances,Débutant (de 1 à 3 ans),BAC,de 6000 dh à 8000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Kenitra

LES MANDARINS MAROC,Les MAndarins Maroc (Courtier Français en Assurance) Recrute : Commerciaux (Santé + Auto + Décennale) + Gestionnaires + Televendeurs // Stage Infographiste,https://www.m-job.ma/offres-emploi/115029-les-mandarins-maroc-courtier-francais-en-assurance-recrute-commerciaux-sante-auto-decennale-gestionnaires-televendeurs-stage-infographiste-rabat,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.",Français,"Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances pour le marché français, Recrute plusieurs profils suite à l'ouverture de notre Site à Ain Atiq (région de Témara)",CDI,Banque / Assurance,"Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission",Débutant (de 1 à 3 ans),BAC+2,de 15 000 dh à 20 000 dh,L'offre a été publiée il y a 1 semaine avant sur le site.,Banque / Assurance,Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia

